EDAD,ANT_DIAS,IMP_010,IMP_024,IMP_035,IMP_037,IMP_SDO,FALTASACUMULADAS,FECHAING,FECHAMOV,FECHAOCUP,FECHALIMOCU,FECHAINI,FECHAFIN,FECHAPROBJUB,FECHANOMINACION,FECHAPRIMERCONFZA,ADSCRIPCION,CATEGORIA,CLASIF_UNIDAD,COMSIN,CPTO180,DATOADIC_CATBASE,DELEGACION,DEPENDENCIA,DESCRIPCION_SERVICIO,DESCRIP_CLASCATEG,DESCRIP_HORARIO,DESCRIP_LOCALIDAD,DESCRIP_TIPO_DE_PLAZA,DESCRIP_TURNO,DescripcionTC,ESCOLARIDAD,GrupoTipoPlaza,JUBILA,MCABAJA,MCP,MY,NOMBREAR,PLZAUT,PLZOCU,PLZSOB,PTO,RJP,SEXO,TipoConfianza,TipoMcaOcup,ULTIMACATEGBASE,VIGENCIAPTO,CURP,RFC,NSS,MATRICULA
38.4569718895705,372.9213438499992,0,8.770276670716033,0,0,6377.801147542417,NA,2015-03-16,2003-12-15,2021-07-24,2050-01-01,2012-05-24,2050-01-01,NA,2014-12-07,NA,JEFATURA DE MEDICINA FAMILIAR,MEDICO NO FAMILIAR     80,01 Primer Nivel,NA,1,NA,Nuevo León,HOSPITAL GENERAL REGIONAL 01,A4-QUIRÓFANOS,1.MÉDICOS,7.30  A 14.00 Y 1.5 HRS. PREP. ACT. DOC. E INVES.,MONTERREY,OPERATIVA BASE,MATUTINO,Base,15-ESPECIALIDAD COMPLETA,Operativa,NA,00,MI,4,MEDICINA FAMILIAR,1,1,0,ConP,C111,M,Otro_1,Definitiva,NA,VIGENTE,PAIB809509DWMZYK92,A09B1SGT3NEFD,79058659643,491150
51.5465960834947,10835.241175365885,0,0,0,969.5374380922406,6636.098822366745,0,2048-02-20,2025-09-28,1984-08-26,2050-01-01,2029-10-22,2050-01-01,NA,2018-09-06,NA,JEFATURA DE MEDICINA FAMILIAR,MEDICO NO FAMILIAR     80,01 Primer Nivel,NA,1,NA,Otro_2,HOSPITAL GENERAL REGIONAL 01,A4-QUIRÓFANOS,1.MÉDICOS,14.00 A 20.30 Y 1.0 HRS. PREP. ACT. DOC. INVEST.,GUADALAJARA,CUBRE DESCANSOS BASE,MATUTINO,Confianza,11-LICENCIATURA COMPLETA,Otro_1,NA,00,21,4,MEDICINA DE URGENCIAS,1,1,0,ConP,C111,H,Base,Definitiva,20360180,VIGENTE,XOUX016261UOLMIB78,3EXZF0CW5DSCX,16584592543,269256892
47.893601051048165,6681.039575916509,0,0,NA,0.3731963066903804,6042.03727359304,0,1978-01-30,2021-05-01,2019-08-02,NA,2000-10-19,2050-01-01,NA,2012-04-01,NA,JEFATURA DE MEDICINA FAMILIAR,MEDICO FAMILIAR        80,02 Segundo Nivel,NA,1,20360180,Jalisco,HOSPITAL GENERAL REGIONAL 01,A7-CONSULTA DE MEDICINA FAMILIAR,1.MÉDICOS,Otro_61,MONTERREY,CUBRE DESCANSOS BASE,VESPERTINO,Base,15-ESPECIALIDAD COMPLETA,Operativa,PROYECCION,Otro_9,MI,4,MEDICINA FAMILIAR,1,1,0,ConP,C111,H,Base,No Definitiva,20360280,VIGENTE,LEEU802111SFNSIZ03,T7VBQ7H0ZKV48,48176759810,2656882
46.95940915427008,3559.520487309541,0,487.75580005196076,0,4.9617710148176855,5944.15560847115,NA,2018-03-22,2020-09-21,2022-12-12,2050-01-01,1969-04-30,2050-01-01,2044-03-22,2010-03-29,NA,COORDINACION CLINICA DE MEDICINA,MEDICO NO FAMILIAR     80,02 Segundo Nivel,NA,1,NA,Nuevo León,HOSPITAL GENERAL REGIONAL 01,A4-QUIRÓFANOS,1.MÉDICOS,14.00 A 20.30 Y 1.0 HRS. PREP. ACT. DOC. INVEST.,GUADALAJARA,OPERATIVA BASE,Otro_3,Base,Otro_11,Operativa,PROYECCION,00,MI,4,MEDICINA DE URGENCIAS,1,1,0,ConP,C111,H,Base,Definitiva,20360280,VIGENTE,GHIR953940IXPDBE98,5SI06OT10SFLJ,52228281204,031096384
40.69293674606518,9596.652949084033,3.973118400852399,0.21759052352762037,32069.71,0,6124.699663901969,NA,1986-01-17,2020-12-04,1972-08-27,2050-06-09,2007-11-10,2050-01-01,2010-04-29,2019-05-09,NA,COORDINACION CLINICA DE MEDICINA,MEDICO FAMILIAR        80,Otro_7,NA,1,NA,Otro_18,HOSPITAL GENERAL DE ZONA 01,A7-CONSULTA DE MEDICINA FAMILIAR,1.MÉDICOS,7.30  A 14.00 Y 1.5 HRS. PREP. ACT. DOC. E INVES.,MONTERREY,OPERATIVA BASE,MATUTINO,Base,11-LICENCIATURA COMPLETA,Otro_2,PROYECCION,00,MI,4,MEDICINA DE URGENCIAS,1,1,0,ConP,C152 Y C107,M,Base,Definitiva,20360180,VIGENTE,EYWI586808JZMSTY13,GS7CDHP804SAM,NA,452521188
NA,4144.161338738223,36.59475213843737,0,0,0,7257.742200125395,NA,NA,2025-08-27,2024-02-07,2050-01-01,1999-05-04,2002-02-10,NA,2016-10-25,NA,COORDINACION CLINICA DE MEDICINA,MEDICO NO FAMILIAR     80,02 Segundo Nivel,NA,1,NA,Nuevo León,HOSPITAL GENERAL REGIONAL 01,A7-CONSULTA DE MEDICINA FAMILIAR,1.MÉDICOS,Otro_54,GUADALAJARA,OPERATIVA BASE,VESPERTINO,Base,15-ESPECIALIDAD COMPLETA,Operativa,NA,00,MI,4,MEDICINA FAMILIAR,1,1,0,ConP,C111,NA,Base,Definitiva,20360180,VIGENTE,OXEI080788YXAHFF90,IVJ8XIMEYWZBH,98652139312,71755896
45.613499899119084,NA,0,0,0,0,8134.088839415136,28.508056707741282,2009-12-10,2005-10-17,2019-03-26,2006-06-28,1985-11-06,2050-01-01,NA,NA,NA,COORDINACION CLINICA DE MEDICINA,MEDICO NO FAMILIAR     80,01 Primer Nivel,NA,1,NA,Jalisco,HOSPITAL GENERAL REGIONAL 01,Otro_100,1.MÉDICOS,7.30  A 14.00 Y 1.5 HRS. PREP. ACT. DOC. E INVES.,MONTERREY,OPERATIVA BASE,MATUTINO,Confianza,15-ESPECIALIDAD COMPLETA,Operativa,NA,00,MI,2,MEDICINA DE URGENCIAS,1,1,0,ConP,C111,H,Confianza B,Definitiva,20360180,VIGENTE,LGGG210564BMKGVR47,HJMQI74SZ3198,65591827055,NA
40.621984924271935,3517.480942651011,0,0,0,0,6937.010021258179,0,2011-04-05,2024-04-19,2023-12-19,2050-04-01,1972-09-08,1991-04-30,NA,NA,2018-03-20,JEFATURA DE MEDICINA FAMILIAR,MEDICO FAMILIAR        80,01 Primer Nivel,NA,1,NA,Nuevo León,HOSPITAL GENERAL DE ZONA 01,A7-CONSULTA DE MEDICINA FAMILIAR,1.MÉDICOS,14.00 A 20.30 Y 1.0 HRS. PREP. ACT. DOC. INVEST.,MONTERREY,CUBRE DESCANSOS BASE,VESPERTINO,Base,15-ESPECIALIDAD COMPLETA,Otras,NA,00,MI,4,MEDICINA DE URGENCIAS,1,1,0,ConP,C111,M,Base,Definitiva,20360180,VIGENTE,ZKJP503555TVRWTY95,0E2LI65S6UFQP,NA,503398509
53.00514968405729,4221.072789200865,0,0,0,0,6642.779190489712,NA,2022-02-13,2022-05-13,1972-09-05,2034-08-20,2013-07-30,2049-11-24,NA,2019-11-17,1991-02-13,COORDINACION CLINICA DE MEDICINA,MEDICO NO FAMILIAR     80,02 Segundo Nivel,NA,1,NA,Jalisco,HOSPITAL GENERAL DE ZONA 01,A4-QUIRÓFANOS,1.MÉDICOS,7.30  A 14.00 Y 1.5 HRS. PREP. ACT. DOC. E INVES.,MONTERREY,OPERATIVA BASE,VESPERTINO,Confianza,11-LICENCIATURA COMPLETA,Operativa,PROYECCION,00,MI,2,MEDICINA DE URGENCIAS,1,1,0,ConP,C111,M,Base,No Definitiva,20360180,VIGENTE,QHXB600450YQFWKI52,4Z5WK6BWS47ZV,74005656210,8785091
47.184857197159026,4930.2796790417715,0,0,NA,0,6271.771763353415,0,1982-08-18,2025-11-24,1994-05-24,NA,2010-06-12,2050-01-01,NA,NA,NA,JEFATURA DE MEDICINA FAMILIAR,MEDICO NO FAMILIAR     80,02 Segundo Nivel,NA,1,Otro_60,Jalisco,HOSPITAL GENERAL DE ZONA 01,A7-CONSULTA DE MEDICINA FAMILIAR,1.MÉDICOS,7.30  A 14.00 Y 1.5 HRS. PREP. ACT. DOC. E INVES.,MONTERREY,Otro_7,VESPERTINO,Base,11-LICENCIATURA COMPLETA,Operativa,NA,62,MI,4,MEDICINA FAMILIAR,1,1,0,ConP,C111,M,Base,Definitiva,20360180,VIGENTE,ZNUV269865HLKLYH59,XLEXMCBPRCL56,25203554316,357579448
